userID;date;time;collisionNumber;stressAverage
0;0;0;0;0

-858993459;2021/5/26/18:20;4;1;0.000000
-858993458;2021/5/26/18:20;4;2;0.000000
-858993457;2021/5/26/18:20;5;3;0.000000
-858993456;2021/5/26/18:20;6;4;0.000000
-858993455;2021/5/26/18:20;7;5;0.000000
-858993454;2021/5/26/18:20;8;6;0.000000
-858993453;2021/5/26/18:20;9;7;0.000000
-858993452;2021/5/26/18:20;9;8;0.000000
-858993451;2021/5/26/18:20;11;9;0.000000
-858993450;2021/5/26/18:20;11;10;0.000000
-858993449;2021/5/26/18:20;12;11;0.000000
-858993448;2021/5/26/18:20;13;12;0.000000
-858993447;2021/5/26/18:20;13;13;0.000000
-858993446;2021/5/26/18:20;14;14;0.000000
-858993445;2021/5/26/18:20;14;15;0.000000
-858993444;2021/5/26/18:20;15;16;0.000000
-858993443;2021/5/26/18:20;16;17;0.000000
-858993442;2021/5/26/18:20;16;18;0.000000
-858993441;2021/5/26/18:20;17;19;0.000000
-858993440;2021/5/26/18:20;19;20;0.000000
-858993439;2021/5/26/18:20;19;21;0.000000
-858993438;2021/5/26/18:20;22;22;0.000000
-858993437;2021/5/26/18:20;22;23;0.000000
-858993436;2021/5/26/18:20;23;24;0.000000
-858993435;2021/5/26/18:20;24;25;0.000000
-858993434;2021/5/26/18:20;25;26;0.000000
-858993433;2021/5/26/18:20;25;27;0.000000
-858993432;2021/5/26/18:20;26;28;0.000000
-858993431;2021/5/26/18:20;26;29;0.000000
-858993430;2021/5/26/18:20;27;30;0.000000
-858993429;2021/5/26/18:20;27;31;0.000000
-858993428;2021/5/26/18:20;29;32;0.000000
-858993427;2021/5/26/18:20;29;33;0.000000
-858993426;2021/5/26/18:20;30;34;0.000000
-858993425;2021/5/26/18:20;30;35;0.000000
-858993424;2021/5/26/18:20;30;36;0.000000
-858993423;2021/5/26/18:20;31;37;0.000000
-858993422;2021/5/26/18:20;32;38;0.000000
508187073;2021/5/26/18:52;3;1;0.000000
508187073;2021/5/26/18:52;5;2;0.000000
508187073;2021/5/26/18:52;6;3;0.000000
508187073;2021/5/26/18:52;7;4;0.000000
508187073;2021/5/26/18:52;7;5;0.000000
508187073;2021/5/26/18:52;7;6;0.000000
508187073;2021/5/26/18:52;7;7;0.000000
508187073;2021/5/26/18:52;8;8;0.000000
508187073;2021/5/26/18:52;9;9;0.000000
508187073;2021/5/26/18:52;10;10;0.000000
508187073;2021/5/26/18:52;12;11;0.000000
508187073;2021/5/26/18:52;12;12;0.000000
508187073;2021/5/26/18:52;13;13;0.000000
508187073;2021/5/26/18:52;13;14;0.000000
508187073;2021/5/26/18:52;14;15;0.000000
508187073;2021/5/26/18:52;14;16;0.000000
508187073;2021/5/26/18:52;14;17;0.000000
37;2021/5/26/21:24;5;1;0.000000
37;2021/5/26/21:24;6;2;0.000000
37;2021/5/26/21:24;7;3;0.000000
37;2021/5/26/21:24;10;4;0.000000
37;2021/5/26/21:24;11;5;0.000000
37;2021/5/26/21:24;11;6;0.000000
37;2021/5/26/21:24;11;7;0.000000
37;2021/5/26/21:24;13;8;0.000000
37;2021/5/26/21:24;13;9;0.000000
37;2021/5/26/21:24;14;10;0.000000
37;2021/5/26/21:25;17;11;0.000000
37;2021/5/26/21:25;17;12;0.000000
37;2021/5/26/21:25;22;13;0.000000
37;2021/5/26/21:25;23;14;0.000000
37;2021/5/26/21:25;24;15;0.000000
37;2021/5/26/21:25;25;16;0.000000
37;2021/5/26/21:25;26;17;0.000000
37;2021/5/26/21:25;26;18;0.000000
37;2021/5/26/21:25;28;19;0.000000
37;2021/5/26/21:25;29;20;0.000000
37;2021/5/26/21:25;31;21;0.000000
37;2021/5/26/21:25;32;22;0.000000
38;2021/5/27/15:43;2;1;0.000000
38;2021/5/27/15:43;4;2;0.000000
38;2021/5/27/15:43;16;3;0.000000
38;2021/5/27/15:43;16;4;0.000000
38;2021/5/27/15:43;17;5;0.000000
38;2021/5/27/15:43;17;6;0.000000
38;2021/5/27/15:43;17;7;0.000000
38;2021/5/27/15:44;18;8;0.000000
38;2021/5/27/15:44;18;9;0.000000
38;2021/5/27/15:44;18;10;0.000000
38;2021/5/27/15:44;19;11;0.000000
38;2021/5/27/15:44;19;12;0.000000
