userID;date;time;collisionNumber;stressAverage
0;0;0;0;0
1;2021/4/4/1:5;48;66;100.000000
2;2021/4/4/1:14;20;30;100.000000
3;2021/4/4/1:25;16;13;100.000000
4;2021/4/4/1:29;36;63;100.000000
5;2021/4/4/1:31;55;12;100.000000
6;2021/4/4/1:55;32;59;100.000000
7;2021/4/8/15:9;3;2;100.000000
8;2021/4/9/15:53;22;29;100.000000
9;2021/4/10/12:31;8;7;0.000000
10;2021/5/17/18:22;113;50;44.317722
11;2021/5/17/18:24;41;14;30.789955
12;2021/5/17/18:36;81;118;0.000000
13;2021/5/17/19:18;16;13;0.000000
14;2021/5/17/19:19;12;8;0.000000
